Latitude,Longitude,Date,"Local 
Time",Week No.,PitID,State,Location,Site,HN (cm) A,HN (cm) B,HN (cm) C,SWE (mm) A,SWE (mm) B,SWE (mm) C,DEN (kg/m^3) A,DEN (kg/m^3) B,DEN (kg/m^3) C,Melt,Comments,avg HN (cm),avg SWE (mm),avg DEN (kg/m^3)
43.93208,-115.66576,2021-01-27,16:40,3,IDBRM1,ID,Boise River Basin,MC_1,27.0, , ,23.0, , ,86.0, , ,No, ,27.0,23.0,86.0
43.93208,-115.66576,2021-02-03,15:35,4,IDBRM1,ID,Boise River Basin,MC_1,41.0, , ,49.0, , ,120.0, , ,No, ,41.0,49.0,120.0
43.93208,-115.66576,2021-02-10,16:00,5,IDBRM1,ID,Boise River Basin,MC_1,9.0,11.0,13.0,16.0,23.0,24.0,178.0,210.0,185.0,No, ,11.0,21.0,191.0
43.93208,-115.66576,2021-02-17,17:40,6,IDBRM1,ID,Boise River Basin,MC_1,72.0, , ,90.0, , ,125.0, , ,No,Air Temp: -6.7 C,72.0,90.0,125.0
43.93208,-115.66576,2021-02-24,18:00,7,IDBRM1,ID,Boise River Basin,MC_1,33.0,32.0, ,44.0,44.0, ,2.0,2.0, ,No, ,32.5,44.0,136.0
43.93208,-115.66576,2021-03-03,17:50,8,IDBRM1,ID,Boise River Basin,MC_1,24.0,22.0,25.0,36.0,33.0,38.0,2.0,2.0,2.0,Yes,"Air Temp: +3.8 C, some melt around storm board pole, no ice present",23.7,36.0,152.0
43.93208,-115.66576,2021-03-10,15:50,9,IDBRM1,ID,Boise River Basin,MC_1,3.0,4.0,2.0,6.0,7.0,5.0,2.0,2.0,3.0,Yes,"Air Temp: +1.8 C, liquid water in lower 1 cm of HS, some signs of melt on portions of interval board",3.0,6.0,200.0
43.93208,-115.66576,2021-03-16,17:00,10,IDBRM1,ID,Boise River Basin,MC_1,0.0, , ,0.0, , ,0.0, , ,No, ,0.0,0.0, 
43.93208,-115.66576,2021-03-24,16:20,11,IDBRM1,ID,Boise River Basin,MC_1,6.0,8.0, ,12.0,16.0, ,200.0,200.0, ,Yes,"Air Temp: +1.8 C, some melt tip of storm board, ice at bottom of snopack/above board but not frozen to board --> no liquid water",7.0,14.0,200.0
43.94678,-115.6684,2021-01-15,16:10,1,IDBRM2,ID,Boise River Basin,MC_2, , , , , , , , , ,No, , , , 
43.94678,-115.6684,2021-01-27,15:45,3,IDBRM2,ID,Boise River Basin,MC_2,33.0, , ,30.0, , ,91.0, , ,No, ,33.0,30.0,91.0
43.94678,-115.6684,2021-02-03,15:35,4,IDBRM2,ID,Boise River Basin,MC_2,35.0, , ,38.0, , ,109.0, , ,No, ,35.0,38.0,109.0
43.94678,-115.6684,2021-02-10,15:00,5,IDBRM2,ID,Boise River Basin,MC_2,6.0,7.0,10.0,10.0,13.0,18.0,167.0,186.0,180.0,No, ,7.7,14.0,182.0
43.94678,-115.6684,2021-02-17,16:15,6,IDBRM2,ID,Boise River Basin,MC_2,63.0, , ,82.0, , ,131.0, , ,No,Air Temp: -6.9 C,63.0,82.0,131.0
43.94678,-115.6684,2021-02-24,16:50,7,IDBRM2,ID,Boise River Basin,MC_2,30.0,29.0, ,43.0,38.0, ,2.0,2.0, ,No,Air Temp: -4.9 C,29.5,40.0,136.0
43.94678,-115.6684,2021-03-03,16:45,8,IDBRM2,ID,Boise River Basin,MC_2,13.0,14.0,20.0,27.0,31.0,45.0,3.0,3.0,3.0,Yes,"Air Temp: +4.8 C, ice/slush on baord all 3 samples (liquid water present), not captured in measurement",15.7,34.0,217.0
43.94678,-115.6684,2021-03-10,14:50,9,IDBRM2,ID,Boise River Basin,MC_2, , , , , , , , , ,Yes,Board, , , 
43.94678,-115.6684,2021-03-16,15:45,10,IDBRM2,ID,Boise River Basin,MC_2,0.0, , ,0.0, , ,0.0, , ,Yes,"Air Temp: +6.3 C, no new snow",0.0,0.0, 
